"Source","Repo","Abbreviation","WorkshopId","Extension","FileCount","TotalMiB","MaxFileMiB","SampleText","SampleBinary","SampleUnknown","Classification"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".png","32","5,492","2,964","0","12","0","Binary"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".rev","1","0,002","0,002","0","1","0","Binary"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".sample","14","0,026","0,005","12","0","0","Text"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".tga","1","0,095","0,095","0","1","0","Binary"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".txt","451","52,784","3,968","12","0","0","Text"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".yml","57","9,579","1,143","12","0","0","Text"
"SteamWorkshopCurrent","MPE","MPE","3726274827","<no-extension>","111","11,752","3,848","0","12","0","Binary"
"LocalRepoWorkingTree","RICE","RICE","2273832430",".asset","2","0,004","0,002","2","0","0","Text"
"LocalRepoWorkingTree","RICE","RICE","2273832430",".dds","1968","738,075","7,91","0","12","0","Binary"
"LocalRepoWorkingTree","RICE","RICE","2273832430",".gitignore","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","RICE","RICE","2273832430",".gui","67","0,136","0,007","12","0","0","Text"
"LocalRepoWorkingTree","RICE","RICE","2273832430",".jpg","2","1,749","1,321","0","2","0","Binary"
"LocalRepoWorkingTree","RICE","RICE","2273832430",".mesh","2","1,972","1,378","0","2","0","Binary"
"LocalRepoWorkingTree","RICE","RICE","2273832430",".mod","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","RICE","RICE","2273832430",".ogg","241","505,633","7,981","0","12","0","Binary"
"LocalRepoWorkingTree","RICE","RICE","2273832430",".png","1","0,277","0,277","0","1","0","Binary"
"LocalRepoWorkingTree","RICE","RICE","2273832430",".txt","1357","15,804","0,458","12","0","0","Text"
"LocalRepoWorkingTree","RICE","RICE","2273832430",".xcf","1","0,115","0,115","0","1","0","Binary"
"LocalRepoWorkingTree","RICE","RICE","2273832430",".yml","777","42,862","0,465","12","0","0","Text"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".asset","2","0,004","0,002","2","0","0","Text"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".dds","1968","738,075","7,91","0","12","0","Binary"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".gitignore","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".gui","67","0,136","0,007","12","0","0","Text"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".idx","2","0,137","0,112","0","2","0","Binary"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".jpg","2","1,749","1,321","0","2","0","Binary"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".mesh","2","1,972","1,378","0","2","0","Binary"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".mod","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".ogg","241","505,633","7,981","0","12","0","Binary"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".pack","2","516,709","509,206","0","2","0","Binary"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".png","1","0,277","0,277","0","1","0","Binary"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".rev","2","0,019","0,016","0","2","0","Binary"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".sample","14","0,025","0,005","12","0","0","Text"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".txt","1357","15,804","0,458","12","0","0","Text"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".xcf","1","0,115","0,115","0","1","0","Binary"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".yml","777","42,862","0,465","12","0","0","Text"
"SteamWorkshopCurrent","RICE","RICE","2273832430","<no-extension>","17","0,422","0,276","10","2","0","Mixed"
"LocalRepoWorkingTree","Special-World","SW","2875587269","._defunctmesh","1","2,189","2,189","0","1","0","Binary"
"LocalRepoWorkingTree","Special-World","SW","2875587269",".anim","25","1,894","0,302","0","12","0","Binary"
"LocalRepoWorkingTree","Special-World","SW","2875587269",".asset","276","1,671","1,316","12","0","0","Text"
"LocalRepoWorkingTree","Special-World","SW","2875587269",".dds","1875","1389,792","21,333","0","12","0","Binary"
"LocalRepoWorkingTree","Special-World","SW","2875587269",".ds_store","1","0,014","0,014","0","1","0","Binary"
"LocalRepoWorkingTree","Special-World","SW","2875587269",".gitignore","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","Special-World","SW","2875587269",".gui","4","0,15","0,117","4","0","0","Text"
"LocalRepoWorkingTree","Special-World","SW","2875587269",".info","2","0,378","0,269","2","0","0","Text"
"LocalRepoWorkingTree","Special-World","SW","2875587269",".mesh","491","355,942","15,372","0","12","0","Binary"
"LocalRepoWorkingTree","Special-World","SW","2875587269",".mod","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","Special-World","SW","2875587269",".pdn","2","2,939","2,528","2","0","0","Text"
"LocalRepoWorkingTree","Special-World","SW","2875587269",".png","21","14,312","0,895","0","12","0","Binary"
"LocalRepoWorkingTree","Special-World","SW","2875587269",".tif","1","0,716","0,716","0","1","0","Binary"
"LocalRepoWorkingTree","Special-World","SW","2875587269",".txt","241","18,448","2,305","12","0","0","Text"
"LocalRepoWorkingTree","Special-World","SW","2875587269",".yml","41","1,765","0,475","12","0","0","Text"
"SteamWorkshopCurrent","Special-World","SW","2875587269","._defunctmesh","1","2,189","2,189","0","1","0","Binary"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".anim","25","1,894","0,302","0","12","0","Binary"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".asset","276","1,671","1,316","12","0","0","Text"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".dds","1875","1389,792","21,333","0","12","0","Binary"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".ds_store","1","0,014","0,014","0","1","0","Binary"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".gitignore","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".gui","4","0,15","0,117","4","0","0","Text"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".idx","1","0,015","0,015","0","1","0","Binary"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".info","2","0,378","0,269","2","0","0","Text"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".mesh","491","355,942","15,372","0","12","0","Binary"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".mod","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".pack","1","26,731","26,731","0","1","0","Binary"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".pdn","2","2,939","2,528","2","0","0","Text"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".png","21","14,312","0,895","0","12","0","Binary"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".rev","1","0,002","0,002","0","1","0","Binary"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".sample","14","0,025","0,005","12","0","0","Text"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".tif","1","0,716","0,716","0","1","0","Binary"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".txt","241","18,448","2,305","12","0","0","Text"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".yml","41","1,765","0,475","12","0","0","Text"
"SteamWorkshopCurrent","Special-World","SW","2875587269","<no-extension>","1111","15,902","0,333","0","12","0","Binary"
"LocalRepoWorkingTree","Turkic-World-Expanded","TWE","3668769244",".mod","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","Turkic-World-Expanded","TWE","3668769244",".png","1","0,429","0,429","0","1","0","Binary"
